age,age_onset,birthplace,filename,native_language,sex,speakerid,country,l2_acq
33,8.0,"sao paulo, brazil",portuguese27,portuguese,female,1128,brazil,25.0
36,10.0,"sao paulo, brazil",portuguese28,portuguese,female,1187,brazil,26.0
28,8.0,"vitoria, brazil",portuguese29,portuguese,male,1284,brazil,20.0
29,12.0,"volta redonda, brazil",portuguese32,portuguese,male,1305,brazil,17.0
39,15.0,"uberlandia, brazil",portuguese36,portuguese,female,1438,brazil,24.0
43,26.0,"sao paulo, brazil",portuguese37,portuguese,female,1454,brazil,17.0
26,8.0,"sao paulo, brazil",portuguese39,portuguese,female,1553,brazil,18.0
23,0.0,"london, england, uk",portuguese40,portuguese,male,1773,uk,23.0
32,8.0,"coronel fabriciano, minas gerais, brazil",portuguese43,portuguese,female,1922,brazil,24.0
65,11.0,"cascais, portugal",portuguese46,portuguese,male,1965,portugal,54.0
31,13.0,"lubango, angola",portuguese5,portuguese,male,286,angola,18.0
44,15.0,"sao paulo, brazil",portuguese6,portuguese,male,287,brazil,29.0
40,11.0,"vitoria, brazil",portuguese7,portuguese,male,288,brazil,29.0
26,7.0,"fortaleza, brazil",portuguese8,portuguese,male,289,brazil,19.0
27,11.0,"bucharest, romania",romanian10,romanian,female,692,romania,16.0
39,14.0,"buzau, romania",romanian11,romanian,male,693,romania,25.0
38,12.0,"chisinau, moldova",romanian12,romanian,female,865,moldova,26.0
46,12.0,"babadag, romanian",romanian13,romanian,male,930,romanian,34.0
27,8.0,"bucharest, romania",romanian15,romanian,female,980,romania,19.0
25,9.0,"bucharest, romania",romanian16,romanian,female,996,romania,16.0
43,28.0,"solotvino, ukraine",romanian18,romanian,female,1448,ukraine,15.0
62,14.0,"bucharest, romania",romanian2,romanian,male,296,romania,48.0
34,19.0,"bucharest, romania",romanian20,romanian,female,1599,romania,15.0
50,32.0,"birtem, romania",romanian3,romanian,male,297,romania,18.0
47,12.0,"bucharest, romania",romanian5,romanian,female,688,romania,35.0
35,12.0,"bucharest, romania",romanian6,romanian,male,689,romania,23.0
33,11.0,"bucharest, romania",romanian7,romanian,male,694,romania,22.0
47,12.0,"bucharest, romania",romanian8,romanian,male,690,romania,35.0
20,5.0,"moscow, russia",russian10,russian,female,300,russia,15.0
54,13.0,"ola magadan, russia",russian11,russian,male,301,russia,41.0
26,10.0,"moscow, russia",russian13,russian,male,472,russia,16.0
33,18.0,"pskov, russia",russian14,russian,male,609,russia,15.0
34,12.0,"ayaguz, kazakhstan",russian15,russian,female,647,kazakhstan,22.0
35,11.0,"minsk, belarus",russian16,russian,male,648,belarus,24.0
37,18.0,"pskov, russia",russian17,russian,male,671,russia,19.0
40,17.0,"zhezkazgan, kazakhstan",russian19,russian,male,834,kazakhstan,23.0
50,10.0,"izmail, ukraine",russian2,russian,female,302,ukraine,40.0
46,10.0,"moscow, russia",russian21,russian,female,954,russia,36.0
30,11.0,"riga, latvia",russian22,russian,male,994,latvia,19.0
21,5.0,"zaporizhzhya, ukraine",russian23,russian,female,1057,ukraine,16.0
58,41.0,"orhei, moldova",russian25,russian,female,1096,moldova,17.0
21,6.0,"chisinau, moldova",russian29,russian,male,1254,moldova,15.0
35,6.0,"zaporizhzhya, ukraine",russian3,russian,female,303,ukraine,29.0
21,4.0,"tallinn, estonia",russian31,russian,male,1311,estonia,17.0
31,14.0,"kiev, ukraine",russian32,russian,female,1314,ukraine,17.0
31,10.0,"st. petersburg, russia",russian37,russian,male,1523,russia,21.0
84,18.0,"gomel, belarus",russian38,russian,male,1708,belarus,66.0
25,5.0,"brooklyn, new york, usa",russian39,russian,female,1750,usa,20.0
68,38.0,"moscow, russia",russian4,russian,female,304,russia,30.0
23,8.0,"bishkek, kyrgyzstan",russian40,russian,female,1774,kyrgyzstan,15.0
30,10.0,"nizhni novgorod, russia",russian41,russian,female,1844,russia,20.0
24,4.0,"moscow, russia",russian42,russian,female,1924,russia,20.0
27,8.0,"st. petersburg, russia",russian43,russian,female,1932,russia,19.0
29,6.0,"penza, russia",russian44,russian,female,1947,russia,23.0
68,14.0,"st. petersburg, russia",russian45,russian,female,2027,russia,54.0
24,7.0,"perm, russia",russian46,russian,female,2105,russia,17.0
26,6.0,"saransk, russia",russian47,russian,female,2107,russia,20.0
29,6.0,"fergana, uzbekistan",russian48,russian,female,2137,uzbekistan,23.0
26,11.0,"moscow, russia",russian6,russian,female,306,russia,15.0
54,13.0,"kiev, ukraine",russian7,russian,female,307,ukraine,41.0
66,12.0,"moscow, russia",russian8,russian,male,308,russia,54.0
23,7.0,"moscow, russia",russian9,russian,male,309,russia,16.0
25,7.0,"belgrade, serbia",serbian10,serbian,male,727,serbia,18.0
33,9.0,"belgrade, serbia",serbian16,serbian,male,1157,serbia,24.0
29,10.0,"belgrade, serbia",serbian17,serbian,female,1283,serbia,19.0
36,15.0,"zrenjanin, serbia, yugoslavia",serbian2,serbian,male,315,yugoslavia,21.0
25,7.0,"belgrade, serbia",serbian3,serbian,male,530,serbia,18.0
35,6.0,"belgrade, serbia",serbian5,serbian,male,722,serbia,29.0
33,12.0,"kraljevo, serbia",serbian6,serbian,male,723,serbia,21.0
31,7.0,"belgrade, serbia",serbian7,serbian,female,724,serbia,24.0
44,20.0,"kraljevo, serbia",serbian8,serbian,male,726,serbia,24.0
31,9.0,"kragujevac, serbia",serbian9,serbian,female,725,serbia,22.0
39,19.0,"la union, el salvador",spanish101,spanish,female,1574,el salvador,20.0
46,15.0,"san miguel, el salvador",spanish103,spanish,male,1584,el salvador,31.0
41,10.0,"jerez de la frontera, spain",spanish105,spanish,female,1613,spain,31.0
21,5.0,"lima, peru",spanish106,spanish,male,1621,peru,16.0
36,14.0,"san salvador, el salvador",spanish107,spanish,male,1622,el salvador,22.0
49,28.0,"lima, peru",spanish11,spanish,female,325,peru,21.0
55,33.0,"santiago, chile",spanish111,spanish,male,1689,chile,22.0
58,8.0,"la paz, bolivia",spanish115,spanish,female,1744,bolivia,50.0
37,6.0,"bogota, colombia",spanish116,spanish,male,1747,colombia,31.0
46,12.0,"madrid, spain",spanish117,spanish,male,1797,spain,34.0
48,13.0,"monterrey, mexico",spanish118,spanish,female,1806,mexico,35.0
40,11.0,"madrid, spain",spanish119,spanish,female,1807,spain,29.0
25,8.0,"oviedo, spain",spanish12,spanish,male,326,spain,17.0
25,2.0,"bogota, colombia",spanish120,spanish,female,1823,colombia,23.0
26,10.0,"toluca, mexico",spanish122,spanish,female,1831,mexico,16.0
57,14.0,"ilbague, colombia",spanish123,spanish,female,1834,colombia,43.0
22,5.0,"santa cruz, bolivia",spanish124,spanish,male,1835,bolivia,17.0
54,5.0,"colon, panama",spanish126,spanish,female,1853,panama,49.0
34,19.0,"san salvador, el salvador",spanish127,spanish,male,1860,el salvador,15.0
30,7.0,"lima, peru",spanish128,spanish,female,1869,peru,23.0
47,30.0,"havana, cuba",spanish129,spanish,female,1874,cuba,17.0
29,11.0,"duitama, colombia",spanish13,spanish,female,327,colombia,18.0
56,25.0,"havana, cuba",spanish131,spanish,male,1903,cuba,31.0
50,15.0,"rio piedras, puerto rico",spanish132,spanish,female,1904,puerto rico,35.0
38,19.0,"cochabamba, bolivia",spanish133,spanish,male,1916,bolivia,19.0
41,13.0,"la union, el salvador",spanish134,spanish,female,1921,el salvador,28.0
41,22.0,"santiago de cuba, cuba",spanish135,spanish,female,1923,cuba,19.0
49,8.0,"santiago, chile",spanish136,spanish,male,1949,chile,41.0
34,15.0,"pereira, colombia",spanish14,spanish,female,328,colombia,19.0
59,8.0,"san salvador, el salvador",spanish142,spanish,female,2016,el salvador,51.0
45,6.0,"oviedo, spain",spanish143,spanish,male,2026,spain,39.0
37,21.0,"florencia, zacatecas, mexico",spanish145,spanish,female,2052,mexico,16.0
54,4.0,"san juan, puerto rico",spanish15,spanish,male,329,puerto rico,50.0
51,25.0,"barcelona, spain",spanish152,spanish,male,2100,spain,26.0
30,4.0,"montevideo, uruguay",spanish154,spanish,male,2127,uruguay,26.0
27,9.0,"lima, peru",spanish155,spanish,male,2130,peru,18.0
65,8.0,"montevideo, uruguay",spanish156,spanish,female,2142,uruguay,57.0
19,3.0,"mexico city, mexico",spanish157,spanish,female,2144,mexico,16.0
54,37.0,"santurce, puerto rico",spanish158,spanish,female,2148,puerto rico,17.0
44,25.0,"buenos aires, argentina",spanish16,spanish,male,330,argentina,19.0
56,32.0,"leon, nicaragua",spanish161,spanish,female,2156,nicaragua,24.0
28,5.0,"mexico city, mexico",spanish162,spanish,male,2169,mexico,23.0
45,30.0,"managua, nicaragua",spanish20,spanish,male,335,nicaragua,15.0
32,11.0,"madrid, spain",spanish22,spanish,female,337,spain,21.0
22,7.0,"santiago, chile",spanish23,spanish,male,338,chile,15.0
27,5.0,"mexico city, mexico",spanish24,spanish,male,339,mexico,22.0
34,14.0,"zaragoza, spain",spanish27,spanish,male,342,spain,20.0
31,7.0,"guayaquil, ecuador",spanish31,spanish,female,449,ecuador,24.0
28,11.0,"cartagena, spain",spanish34,spanish,male,476,spain,17.0
50,17.0,"tegucigalpa, honduras",spanish37,spanish,female,575,honduras,33.0
53,13.0,"tegucigalpa, honduras",spanish38,spanish,male,576,honduras,40.0
20,3.0,"pamplona, spain",spanish39,spanish,male,614,spain,17.0
25,6.0,"bonao, dominican republic",spanish41,spanish,male,706,dominican republic,19.0
80,18.0,"bogota, colombia",spanish42,spanish,female,712,colombia,62.0
43,16.0,"santiago-dr, dominican republic",spanish43,spanish,male,714,dominican republic,27.0
37,4.0,"la romana, dominican republic",spanish44,spanish,female,716,dominican republic,33.0
47,12.0,"santiago-dr, dominican republic",spanish45,spanish,female,715,dominican republic,35.0
33,14.0,"santo domingo, dominican republic",spanish46,spanish,male,717,dominican republic,19.0
21,6.0,"bilbao, spain",spanish48,spanish,male,731,spain,15.0
31,6.0,"tandil, argentina",spanish49,spanish,male,732,argentina,25.0
52,13.0,"bogota, colombia",spanish5,spanish,female,346,colombia,39.0
33,6.0,"bogota, colombia",spanish53,spanish,male,797,colombia,27.0
36,9.0,"tandil, argentina",spanish55,spanish,male,810,argentina,27.0
33,11.0,"montevideo, uruguay",spanish57,spanish,male,886,uruguay,22.0
31,5.0,"mayaguez, puerto rico",spanish59,spanish,female,908,puerto rico,26.0
67,39.0,"azuaga, spain",spanish61,spanish,male,924,spain,28.0
63,19.0,"buenos aires, argentina",spanish62,spanish,female,925,argentina,44.0
32,10.0,"la coruna, spain",spanish63,spanish,female,959,spain,22.0
28,12.0,"medellin, colombia",spanish64,spanish,male,962,colombia,16.0
32,12.0,"barranquilla, colombia",spanish65,spanish,male,1069,colombia,20.0
30,12.0,"san salvador, el salvador",spanish66,spanish,male,1077,el salvador,18.0
48,14.0,"santa marta, colombia",spanish67,spanish,female,1111,colombia,34.0
30,10.0,"bogota, colombia",spanish70,spanish,female,1230,colombia,20.0
24,6.0,"rosario, argentina",spanish71,spanish,male,1231,argentina,18.0
20,5.0,"miami, florida, usa",spanish72,spanish,female,1238,usa,15.0
44,14.0,"zaragoza, spain",spanish74,spanish,male,1249,spain,30.0
28,5.0,"lima, peru",spanish75,spanish,female,1273,peru,23.0
27,10.0,"la paz, bolivia",spanish76,spanish,male,1290,bolivia,17.0
45,13.0,"jalisco, mexico",spanish77,spanish,male,1301,mexico,32.0
55,5.0,"lima, peru",spanish78,spanish,female,1338,peru,50.0
70,22.0,"lamas, peru",spanish79,spanish,female,1344,peru,48.0
63,7.0,"san juan, puerto rico",spanish81,spanish,female,1347,puerto rico,56.0
49,14.0,"la paz, bolivia",spanish82,spanish,male,1396,bolivia,35.0
48,14.0,"la paz, bolivia",spanish83,spanish,male,1397,bolivia,34.0
19,4.0,"buenos aires, argentina",spanish84,spanish,female,1398,argentina,15.0
44,6.0,"buenos aires, argentina",spanish85,spanish,female,1399,argentina,38.0
23,4.0,"buenos aires, argentina",spanish86,spanish,male,1400,argentina,19.0
55,9.0,"la paz, bolivia",spanish87,spanish,male,1401,bolivia,46.0
53,25.0,"la paz, bolivia",spanish88,spanish,male,1402,bolivia,28.0
23,3.0,"caracas, venezuela",spanish90,spanish,female,1431,venezuela,20.0
54,9.0,"cardenas, cuba",spanish92,spanish,male,1435,cuba,45.0
29,12.0,"arequipa, peru",spanish96,spanish,female,1449,peru,17.0
52,19.0,"bogota, colombia",spanish97,spanish,female,1450,colombia,33.0
20,4.0,"lima, peru",spanish99,spanish,female,1506,peru,16.0
37,15.0,"kuningan, indonesia",sundanese1,sundanese,female,457,indonesia,22.0
56,11.0,"solna, sweden",swedish1,swedish,female,351,sweden,45.0
36,10.0,"espoo, finland",swedish11,swedish,female,1195,finland,26.0
23,7.0,"malmo, sweden",swedish12,swedish,male,1441,sweden,16.0
28,10.0,"umea, sweden",swedish13,swedish,female,1445,sweden,18.0
39,11.0,"goteborg, sweden",swedish16,swedish,female,1836,sweden,28.0
42,8.0,"lulea, sweden",swedish18,swedish,male,1992,sweden,34.0
50,12.0,"ekenas, finland",swedish19,swedish,male,2011,finland,38.0
31,7.0,"karlstad, sweden",swedish20,swedish,male,2065,sweden,24.0
26,7.0,"goteborg, sweden",swedish6,swedish,male,620,sweden,19.0
39,6.0,"manila, philippines",tagalog10,tagalog,female,1812,,33.0
59,11.0,"manila, philippines",tagalog11,tagalog,female,1837,,48.0
33,5.0,"legaspi, philippines",tagalog12,tagalog,female,1851,,28.0
76,7.0,"manila, philippines",tagalog13,tagalog,female,1954,,69.0
47,17.0,"legaspi, philippines",tagalog14,tagalog,female,2002,philippines,30.0
35,1.0,"manila, philippines",tagalog15,tagalog,female,2108,philippines,34.0
20,4.5,"san pedro laguna, philippines",tagalog16,tagalog,male,2128,philippines,15.5
21,6.0,"alexandria, virginia, usa",tagalog17,tagalog,male,2146,philippines,15.0
77,8.0,"manila, philippines",tagalog18,tagalog,female,2147,philippines,69.0
19,1.0,"honiara, guadalcanal, solomon islands",tagalog3,tagalog,female,361,philippines,18.0
48,7.0,"san fernando, la union, philippines",tagalog4,tagalog,female,470,philippines,41.0
42,5.0,"tarlac city, philippines",tagalog5,tagalog,female,677,usa,37.0
20,4.0,"quezon city, philippines",tagalog6,tagalog,male,805,philippines,16.0
60,6.0,"manila, philippines",tagalog7,tagalog,male,1364,philippines,54.0
62,7.0,"cabanatuan city, philippines",tagalog8,tagalog,female,1627,solomon islands,55.0
48,7.0,"manila, philippines",tagalog9,tagalog,male,1764,philippines,41.0
27,11.0,"ankara, turkey",turkish10,turkish,male,578,eritrea,16.0
18,3.0,"istanbul, turkey",turkish13,turkish,female,686,botswana,15.0
23,6.0,"istanbul, turkey",turkish14,turkish,female,735,turkey,17.0
31,6.0,"ankara, turkey",turkish17,turkish,male,763,turkey,25.0
27,9.0,"stuttgart, germany",turkish18,turkish,male,926,turkey,18.0
23,6.0,"istanbul, turkey",turkish22,turkish,male,1282,germany,17.0
37,11.0,"adana, turkey",turkish23,turkish,female,1291,turkey,26.0
31,12.0,"istanbul, turkey",turkish24,turkish,male,1329,turkey,19.0
45,22.0,"sivas, turkey",turkish26,turkish,male,1704,turkey,23.0
24,4.0,"istanbul, turkey",turkish28,turkish,female,1772,turkey,20.0
27,12.0,"adana, turkey",turkish3,turkish,male,383,turkey,15.0
30,11.0,"istanbul, turkey",turkish5,turkish,female,385,turkey,19.0
37,17.0,"sivas, turkey",turkish8,turkish,male,478,tajikistan,20.0
29,12.0,"can tho, vietnam",vietnamese1,vietnamese,male,395,china,17.0
57,18.0,"quang nam, vietnam",vietnamese10,vietnamese,female,1192,uzbekistan,39.0
67,15.0,"quang nam, vietnam",vietnamese11,vietnamese,male,1201,afghanistan,52.0
24,9.0,"can tho, vietnam",vietnamese12,vietnamese,female,1529,uzbekistan,15.0
23,6.0,"hanoi, vietnam",vietnamese13,vietnamese,male,1562,uzbekistan,17.0
51,20.0,"ho chi minh city, vietnam",vietnamese14,vietnamese,male,1698,vietnam,31.0
52,17.0,"long xuyen, vietnam",vietnamese16,vietnamese,male,1850,vietnam,35.0
33,11.0,"ho chi minh city, vietnam",vietnamese17,vietnamese,female,1940,vietnam,22.0
46,25.0,"haiphong, vietnam",vietnamese20,vietnamese,female,2042,vietnam,21.0
23,8.0,"bien hoa, vietnam",vietnamese22,vietnamese,male,2151,vietnam,15.0
28,9.0,"vinh long, vietnam",vietnamese3,vietnamese,female,397,vietnam,19.0
41,12.0,"ho chi minh city, vietnam",vietnamese6,vietnamese,male,400,vietnam,29.0
69,12.0,"ninh binh, vietnam",vietnamese8,vietnamese,male,447,vietnam,57.0
